year,temperature,precipitation,soil_moisture,NDVI,NDWI,landcover,degradation_risk
1993,9.169373,0.0022554398,0.2658143937587738,,,10.000000000000062,0
1994,13.289429,0.001449585,0.2638623416423797,,,10.000000000000062,0
1995,9.618225,0.00012350082,0.2644889652729034,,,10.000000000000062,0
1996,9.920959,0.0009584427,0.2659579217433929,,,10.000000000000062,0
1997,8.864838,0.00026988983,0.2662794888019562,,,10.000000000000062,0
1998,10.765076,0.00089120865,0.2650809586048126,,,10.000000000000062,0
1999,9.852417,0.003458023,0.2639959156513214,,,10.000000000000062,0
2000,10.338928,0.0003914833,0.2645944952964782,,,10.000000000000062,0
2001,11.652527,0.0014586449,0.2633114755153656,,,10.000000000000062,0
2002,10.251434,0.00031518936,0.2619854509830475,,,10.000000000000062,0
2003,12.2647705,0.0052723885,0.2629103362560272,,,10.000000000000062,0
2004,10.128082,0.00044679642,0.2637338638305664,,,10.000000000000062,0
2005,9.969727,0.0031838417,0.2624008357524872,,,10.000000000000062,0
2006,10.842163,0.004108906,0.262420117855072,,,10.000000000000062,0
2007,9.987762,5.00679e-05,0.261396586894989,,,10.000000000000062,0
2008,10.5047,0.0008215904,0.2617438733577728,,,10.000000000000062,0
2009,11.943726,0.00029182434,0.261402279138565,,,10.000000000000062,0
2010,10.094208,0.0044140816,0.2630009055137634,,,10.000000000000062,0
2011,10.576599,0.0024876595,0.2620507478713989,,,10.000000000000062,0
2012,10.642578,0.000667572,0.2604252398014068,,,10.000000000000062,0
2013,10.697632,0.0020723343,0.2615386247634887,,,10.000000000000062,0
2014,10.985474,0.00024557114,0.2621033489704132,,,10.000000000000062,0
2015,10.590576,0.001420021,0.2615472972393036,0.3247770965099334,-0.3366188406944275,10.000000000000062,0
2016,12.044159,0.00092315674,0.2622698545455932,0.3458554148674011,-0.3534628748893738,10.000000000000062,0
2017,9.679871,0.0015215874,0.262843519449234,0.4473847150802612,-0.4487117528915405,10.000000000000062,0
2018,10.934906,0.003750801,0.2617679238319397,0.4947225749492645,-0.4803079962730407,10.000000000000062,0
2019,12.278992,0.0043115616,0.26131272315979,0.4311018586158752,-0.4277498424053192,10.000000000000062,1
2020,10.112671,3.862381e-05,0.2595824003219604,0.4202369451522827,-0.4116283655166626,10.000000000000062,0
2021,10.30661,0.0024294853,0.2593432962894439,0.3798970878124237,-0.3631842732429504,10.000000000000062,1
2022,11.218201,0.0030956268,0.2595362663269043,0.2923310399055481,-0.3069657981395721,10.000000000000062,1
2023,11.835083,0.00048828125,0.2579655349254608,0.3254128098487854,-0.3204899728298187,10.000000000000062,0
